Annotator1	Annotator2	Resolve1&2	Paragraph
E0			CAMPAIGN    PovToBACCo-fREE icAs
E0			August 7, 1998
E0			General Barry R. Mccaffrey Director Office of National Drug Control Policy 750- 17th Street, NW Washington, DC 20006
E0			Dear General McCaffrey:
E0			As we have stated previously, we are enthused and heartened by your National Youth Anti-Drug Media Campaign. Your careful planning, support from Congress, the media, the business community and many others are strong indications that this campaign will be a success in curbing illegal drug use among our nation's children. In addition , we hope it will be a precedent and a model for a national counter-marketing program against youth tobacco use.
E0			However, there is one aspect of your Campaign that concerns us greatly. We understand that the Bates USA advertising agency is handling the media planning and buying for Phase II of the program and is in contention to be awarded Phase Ill - the full roll out of the entire Campaign activities.
E0			"This is most unfortunate. Bates 'USA is an advertising agency that is a key partner of the Brown & Williamson Tobacco Corporation, and handles: Capri, a cigarette marketed to women; Kool, a menthol cigarette backed by a new campaign with seductive imagery - ""B Kool"" - aimed at attracting a younger audience; and Lucky Strike, which is featured in a cover story in this week's Advertising Age (see attached) in which a Bates executive discusses ""marketing strategies to reach the target audience of young adults through underground and lifestyle channels."""
E0			"As you will note in the attached article from the New York Times, Bates has strengthened its position in the Brown & Williamson roster of advertising agencies and ""handles so-called premium brands and Grey the so-called value brands."""
E0			Awarding Bates your valued contract would send a very negative message:
E0			"    • It would be a conflict of interest , in that Bates could not be expected to do its best in media negotiations and buys in which the ""matching"" time and space they acquire could be used for anti-tobacco messages,  thus working against their Brown & Williamson client. Indeed , it is possible that Brown and Williamson would not allow Bates to engage in media strategies that are truly effective. The tobacco industry has a history of threatening and punish ing vendors, including advertising agencies, that engage in activities to which the industry objects."
E0			NATIONAL    CENTER  FOR TOBACCO-FREE    KIDS 1 70 7  L STREET.  NW   SUITE   80 0    •   W A SH I N G TO N ,  D C 2 0 0 3 6 PHONE ( 2 0 2 )  2 9 6 - 5 4 6 9    •   F A X  (202)  2 9 6 - 5 4 2 7
E0			General Barry Mccaffrey August 7, 1998 Page 2
E0			    • It would raise questions about the credibility of the program. For years the tobacco industry has claimed that they don't market to kids.  On a number of occasions  they have promoted campaigns that they claimed were designed to discourage tobacco use among children. However, independent experts who have studied these campaigns have always concluded that the campaigns were ineffective and were public relations ploys designed to get Congress off the tobacco industry's back, and not to reduce tobacco use.
E0			    • It would say to Madison Avenue and the business community at large that it is perfectly fine -in fact it is rewarding - to handle tobacco marketing and advertising, which has been shown to attract children to begin smoking as well as the selection of the brands they smoke, and at the same time be given important government anti-drug business. This is most assuredly not the message that should be sent.
E0			    • It would be extremely discouraging to the public health and_tobacco control community, which is fighting against the tobacco industry and its billions of dollars in marketing, legal, lobbying, political contributions and special interest politics.
E0			And finally, General Mccaffrey, awarding Bates your business would be a potential embarrassment to the Clinton Administration and those many members  of Congress who have taken a very strong position against tobacco marketing to children and in favor of comprehensive tobacco control legislation, including curbs on marketing practices that influence children to smoke and use spit tobacco.
E0			The Campaign for Tobacco-Free Kids and its many partners are watching your National Youth Anti-Drug Media Campaign with great interest and hope. Please do not disappoint us by bringing into your team an ad agency that is working effectively for Big Tobacco, and as such represents a threat to America's children.
E0			We would be pleased to discuss this with you or members of your staff. We look forward to a continuing partnership in reducing drug use in America, including tobacco, which is illegal for children.
E0			m   D. Novelli President Enclosures: Advertising Age article New York Times article Fact sheets on tobacco marketing and youth Matthew L. Myers EVP, General Counsel r,
E0			Excerpts from May 14, 1997 statement by General Barry McCaffrey, before the Senate Appropriations Committee, Subcommittee on Treasury, General Government and Civil Service
E0			Comments about the $175 Million Youth-Oriented Anti-Drug Campaign.
E0			        ◦ Drug use has gone up among America's  youth during the p_ast  five years.  The principal reasons that more of our children are using drugs is that fewer of them disapprove of illegal drug use and fewer perceive regular drug use as dangerous. The University of Michigan's Monito,:ing the Future Study makes clear this association between attitudes and usage rates.
E0			        ◦ Unfortunately, in recent years the number of drug-related public service announcements (PSAs) carried by television, radio and print media have decreased markedly. The economics of the media industr-y have made advertising space so competitive that pro-bono advertising has dropped more than 30 percent in recent years. Even worse, virtually no PSAs appear in prime-time.
E0			        ◦ We seek to reverse this trend by developing a public education campaign that supplements anti-drug announcements already offered by dedicated organizations like the Partnership for a Drug-Free America under Jim Burke's leadership and the Ad Council.
E0			        ◦ The President's FY 1998 budget seeks to fund this targeted educational campaign through the $175 million provided in ONDCP's Special Forfeiture Fund. ONDCP will also seek matching private sector donations. The campaign will use both paid and public service television announcements to inform youth and their parents of the consequences of drug use.
E0			"        ◦ Targeted TV ads are among the quickest, most efficient and effective means of reducing drug use. They can modify adolescent perception of drug harmfulness and increase societal disapproval of drugs. They can also reach ""baby boomer"" parents who may be ambivalent about sending strong antidrug messages to their children."
E0			        ◦ Attitudes can be changed with accurate and convincing messages. ONDCP believes this campaign can help to reduce youth drug use dramatically.
E0			'JHE CHRISTIAN SCIENCE MONITOR.. BOSTON - FRIDAY, MAY 30. 1997   Internet address: www.csmonltor .com    75¢ .
E0			The Next Front in the Drug War: the Media
E0			By Barry R. McCaffrey
E0			"OHl'OMTIONS sp,•nd bil­ The nation's youth too often get a pro-drug message from TV, · films, and ads, but that's about to be rmtntfred during changes in vil:wers. Lil<t•­ wise, research-based material is more effective than s1·are Lad ies. lions of dollars 011 adver­ tising  because  it  wor ks. The <'lcctro11ic rncdia - television, rad io . fil m, videos, I nlcrnct, CD HOM. anti multimedia (including print augmented by color photog­ raphy) - arc the strongest  educa­ tional tools of the modern world . Tlll'y change·att itudes  and  behav­ ior among youth in the  fas tes t , 11111st e ff1:cti vc way. So if Ameri- 1.:am; ar!' serious about reducing suhs l..1111:l' ah11s1•, an aggn·ssive 111cdia n1111paig11 is a t""rucial addi­ tion to tlrug prevention at. home, announcemenL,; fell I.Jy :JO per­ cent, and many aired in t.ime slots that attract few childn•n."
E0			The media initiative is only the beginning of a greater educa­ tionaJ campaign that will use every tool available to reach US youngs ters. Documentaries about the hi.story of drug use, the im­ pact of narco-terrorism, and I.he link between drugs, crime,· and the justice system can be supple­ mented by  factuaJ,    dramatic shows about the consequences of brought    us    back    to     word-of-    couuteract  pro-drug messages mouth,    conveying    information    that     youngsters receive from through speech and pictures that many so urces . Ad experts sugg<!sl are electronically enhanced to a  minimum  of  four  exposures  a magnify Impact. week, reaching HO percent of the
E0			that. changes in behavior arc pre­ ceded by changes in at titude . We
E0			ll powerful counterforce Education cannot be coufined to dassrooms any more than momlily is limited  to  religious in­ s titulions  . The electronic age h;L'> !;CCII 11mgazi11e cover s , cereal boxes,    food     cartons,     clothing , i11 schools, and in communities. Congress is now  considering just suc:h a campaign - our pro­ posal tu spend $175 million to motivate young people to reject il­ legal drugs. Through support from the media and others in the priv.11.c sector, this figure could tlouhll' - allowing us to increase both paid advertisements and p11hlic servkc cffons.
E0			The need is c:leCII' Suc:h  an   initiative   is  unques­ r ionably necl·ssary . Even though overaJI urug use in  our  country has dropped by half in the last 15 yea rs , teenage drug use rose pre­ cipitously. Eighth-grade use, fur example, nearly tripled in the last five years. During this period, the nullllll'r of anl iclrug public service substance abuse. Young viewers would be more likely to shun ad­ dictive substances if they were better informed aho11t U1c vio­ lence as.50ciat.ed with this crimi­ nal industry, as well as the health risks posed by illegal drugs.
E0			Today's kids spend more time watching television than atte11d­ ing clas.5es in school. By high school graduation, the average youth has seen approximately 15,000 hours of Tv, as compared to 12,000 hours in school. Whether we like it or not, elec­ tronic media have revolutionized the way people learn -· muc h as Gutenberg's printing press and movable type chnnged fl<'llais­ sance Europe from an oml lo a written culture. In the 20th cen• tury, mass communication has.
E0			 The Idea Is not to control young minds, but to offer accurate data that enable individuals to make rational choices. ters like Roseanne, Seinfeld, or the Bunkers who Join our families at home, commentators  who bring us news from around the world - all create a media enve­ lope that shapes the way  we think.
E0			" Because mass media act like a Mproxy peer"" to our youth, defin­ ing culture by identifying wh at 's Mcool"" and what's not, a broad­ based antidrug campaign cnn believe that, over a five-year pe­ riod, the right kind of media cam­ paign - aJong with other prnven­ tion : programs - can educate students to  reject  illegal  drugs. A recl'nt study by the National Institute on Drug AI.Juse (NIDA) notes I.hat media efforts work best nl the c·ommunity level in ton­ junction with other programs. To maximize impact, the new cam­ paign will Lnilor ads to match the age, social, and psychological profile of target audiences. Alan Lcshner, director of NIL>A, points out that scientific research ha.c; es­ tablished which types of ads achieve good resu)Lc;. For in­ stance, messages that encourage audiences to think about issues - as opposed to celebrities deliver­ Ing slogans - tend lo produre en-"
E0			 video games, and other consumer Items      turned  into    billboards. Young people arc bombarded by thousa nd·s of images,  many  of which  normalize  or   glamorize drug use. To cou11tcr these inOu­ enccs, we must use equally pow­ erful channels of ron11mmiC'al.io11. The  idea   is   not   to   (·◄ 111 trnl young minds. Our purpose  is  to offer accurate data that enables maturing individuals lo 111:tke ra­ titinal choices . Drug:-; arc wri mg hecause they hurt peo pl<·. Wi? cammt st and idly I.Jy while toxic, addidive substances endanger children, family, friends, and ncigl_1b11rh, 1 o ds .     • llany fl. Mc CuJJn :y is d in!t:· tor of the 'll?till? Hov.se Office of N<1fiom1l f},.,lfJ Cmll ml /' o/ic·y.
E0			PULSE CHECK:    Special Report
E0			Methamphetamine Trends in Five Western States and Hawaii
E0			Executive Office of the President Office of National Drug Control Policy Barry R. McCaffrey, Director Office of Programs, Budget, Research, and Evaluation For Distribution Summer 1997
E0			 Introduction
E0			Methamphetamine, a powerful central nervous system stimulant, has been  part of  the drug culture for .many years. It was developed early  in this century  from its parent drug amphetamine  and was originally used in nasal decongestants, bronchial inhalers, and in the treatment of narcolepsy and obesity. Legally produced by pharmaceutical houses, amphetamine and methamphetamine were widely available in the 1950s and  '60s through  prescriptions as well as from a booming  black  market.  The Food and Drug Administration estimated in 1962 that over 8 billion tablets were legally produced each year with as much as half of that production going  to unauthorized  users.1  In the 1970s methamphetamine became a Schedule II drug; that is, a drug with little medical use and a high potential for abuse.
