Annotator1	Annotator2	Resolve1&2	Paragraph
D0//			HHS may want to raise the bucket as part of the technicals discussion Ron wants to have. Here's the story: for many months, HHS could only see their way clear to a partial fix of the bucket. Just as we were about to give up on this, Clay Shaw wrote a letter saying congressional intent was a 100% fix of the bucket. This caused HHS to go back to the drawing board (for months). They now see a way to do a 100% fix, but their legal theory conflicts with OMB counsel's theory, and for the moment it's stuck there.
D1//			So HHS wants to throw into the technical mix the possibility that Congress could clarify this issue, and they may raise it at our conference call tomorrow. OMB doesn’t disagree. | don't see any downside, other than if we have to use a chit for it. But Haskins is on our side here, so it may not use a chit.
D1//			This morning | said we'd no longer need the bucket if the budget agreement becomes law. Not exactly so. Even with the budget agreement, some legal immigrants -- the elderly non-disabled -- who were in the U.S. before the welfare law was enacted will not get Medicaid coverage. States who wish to cover them without vastly expanding their Medicaid programs could do so if the bucket were enacted.
D1//			Ken is saying we can't do the bucket by 4/1, because CBO is reestimating the baseline in early/mid April and we don’t want it out before then. We are pressing him on his logic, since the cost of the bucket is already in the budget as a legislative proposal.
D1//			Can we do by April 1?
D0//			"This e-mail 1) notifies you that the Health Division communicated your guidance to HCFA on the three Medicaid “welfare reform"" issues and 2) outlines HCFA's response to your guidance."
D1//			1) SSI One-Month Gap -- We communicated to HCFA that the one-month gap policy should be made administratively through an All States Letter to the Medicaid Directors as well. HCFA will send over the All States Letter for OMB clearance later this week.
D1//			2) Medically-Needy -- We communicated to HCFA that the medically needy policy should be made administratively through an All States Letter to the Medicaid Directors as opposed to promulgating a regulation. HCFA said that they would discuss this option with their Office of General Counsel and notify us if they had any legal concerns. If not, HCFA will send over the All States Letter for OMB clearance. HCFA mentioned that they would like to distribute one All States Letter that would include both the medically needy policy and the delay regulation.
D1//			3) Delay Regulation -- We communicated to HCFA that you approved of announcing HCFA's intention to promulgate this regulation, since the NPRM process could delay the impact of qualified aliens losing SSI. HCFA wants to send out on All States Letter to the Medicaid Directors announcing this policy and to advise that States could retain Medicaid coverage for SSI recipients in the meantime.
D1//			First, we will schedule a meeting early next week with HCFA, OIRA, and the Health Division to discuss this regulation. Second, HCFA will send over the All States Letter for OMB clearance. This letter will include both the medically needy policy and the announcement of HCFA's intention to promulgate the delay regulation.
D1//			We also noted to HCFA that these policies should be handled administratively with little publicity. HCFA agreed. To ensure a consolidated process, OMB policy officials need to coordinate with other EXOP officials in order to convey that these policies should be handled with minimal publicity.
D1//			Latest status: We, especially OMB, are considering whether to do HHS's administrative fix to the bucket. It is not the advocates’ full fix, but a 2-part regulatory fix HHS devised: a temporary delay for everyone, which will help all states with a bucket problem; and a new policy on how states define “medically needy” Medicaid programs, which will permanently help some states with a bucket problem. Between the 2 parts, it will fix a decent portion of the bucket, but not all. (I will try to get a sense of how much.)
D1//			Nancy-Ann's first take is that Raines needs to decide whether HCFA must come up with an offset to the $1.9 billion cost. Ken and | have pointed out that we fixed a lot of the bucket in our welfare legistative fix package, in our proposal to exempt the disabled from SSI/Medicaid cuts. So theoretically we have already paid for a lot of this, and we're just transferring it from a legislative fix to an administrative fix. OMB is trying to scope out the overlap and numbers as they write a memo to Raines.
D1//			lam assuming we would agree with HHS's approach. | think we exhausted the advocates’ approach. And it will do good things for people and it's fully or largely paid for. | should note that it could take a bit of the steam out of our legal immigrant fix package, since the most compelling cases of legal immigrants in nursing homes would then be temporarily addressed. 1 think the only exception to that would be in states that affirmatively decide not to extend Medicaid to legals, and i'm not sure there are any such states at this time.
D1//			Option of total administrative fix off the table, unless COLO)sees something new.
D1//			- Budget's welfare legislative fix package includes partial fix for the bucket: exempt disabled legal immigrants from SSI cuts. This leaves out the elderly.
D1//			"- HHS's best admin fix thinking had 2 parts: -across the board 1 year delay; and -""medically needy” reg that will help some states."
D1//			Neither of these last 2 are in the budget so, if we want to go ahead with them, we can't talk about them Till the budget's beén out for a while. But we could theoretically tell the groups whe the budge is released that we continue to ponder the question of admin fixes.
D1//			The OMB director has apparently at last opined on the “bucket” issue -- i.e., whether there is an administrative way to allow more people losing SSI to keep Medicaid.
D1//			"Raines endorsed HHS's partial fix, which we've also been pushing. (HHS rejected on legal grounds the advocates’ argument that we could do a total fix, where no one would lose Medicaid as a result of losing SSI.) This partial fix would create a temporary ""bucket"" for everyone losing SSI (for a year, | think). And it would beef up what is included in a “medically needy” program in a way that would help a group of states."
D1//			The effect of this will be to convert part of our fix package from legislative to administrative. It also means health providers will be less interested in our package.
D1//			OMB doesn't think we should announce anything in the next week or two, because CBO is doing some baseline reestimate.
D1//			While we have never been certain that this confusing issue could be packaged into some kind of | announcement or event, OMB would apparently oppose making a big deal about this publicly. They are nervous that we'll be criticized. Not sure this makes sense.
D1//			This shou ROT pe announced or alluded to in our legal immigration briefing tomorrow.
T0//			There will be a staff level discussion within a few days on whether we should have an Administration bill on Superfund. Superfund reauthorization remains a priority for the majority in the Congress, and we will need to decide the Administration strategy soon. CEQ is contemplating calling a principal's meeting early next week.
D0//			This note is to ask your engagement on the process and to quickly summarize the options for strategy and my recommendation.
D0//			With regard to the process, | believe that any principal's meeting on this should be jointly convened mol by CEQ and NEC. @ economic issues are some of the driving issues here. A jointly convened : Séting W sénd an important message of balance on this issue. | plan to make this argument at the staff level. | suggest that you mention this to Gene Sperling.
D1//			The strategy options are three:
D1//			A) Prepare Administration principles, but allow agency assistance to both majority and minority staff to improve/prepare their bills. (There is a republican bill, there is as yet no dem alternative.) [It would need to be absolutely clear that assistance does not guarantee Administration endorsement. EPA is likely to support this view.
D1//			B) Prepare a narrow Administration bill. This approach would send three key signals: (1) we are serious about reform, (2) all Departments will have a voice, and (3) we will only support moderate changes. CEQ is leaning slightly towards this view.
D1//			C) Prepare a broad Administration bill. This approach would likely provide the most comfort to DOE and DOD because they will see this as a potentially disciplining process for the other Agencies. DOJ (Lois Schiffer) would vehemently oppose this approach.
D1//			| recommend that we initially support option A. In my view, the key supporting reasons are: 1) An Administration process to come up with a bill will be extremely contentious and will distract from our effectiveness on the Hill. 2) If we genuinely want a bill we will need to negotiate with the majority and there is no particular advantage to having spent months coming up with our own bill fist. 3) Principles that set a high standard, will provide guidance to negotiations and will provide thetorical cover to strengthen our hand in the negotiations.
D1//			The key weaknesses in this approach are: 1) Some departments will be unhappy enough to undertake their own discreet Hill efforts. | discount this concern because no matter what we do, departments will let their views be known to the Hill. While this adds a measure of chaos, which will likely create some interagency friction, | don't believe it is particularly damaging to the Administration as a whole. 2) We need to get key minority Representatives on board first, some of whom definitely do not want a bill to pass. 3) Environmentalists are likely to end up more critical of a bill that passes. 4) The Administration could be accused of not exercising leadership on this issue. My response would be that our leadership is in Brownfields and in the Administrative reforms.
D0//			Please let me know if you have concerns about my recommended approach.
D0//			There will be a staff levei discussion within a few days on whether we should have an Administration bill on Superfund. Superfund reauthorization remains a priority for the majority in the Congress, and we will need to decide the Administration strategy soon. CEQ is contemplating calling a principal's meeting early next week.
D0//			This note is to ask your engagement on the process and to quickly summarize the options for strategy and my recommendation.
D0//			With regard to the process, | believe that any principal's meeting on this should be jointly convened ol er cEO ana NEC Dre economic issues are some of the driving issues here. A jointly convened . Séting witséend an important message of balance on this issue. | plan to make this argument at the staff level. [i suggest that you mention this to Gene Sperling.
