Annotator1	Annotator2	Resolve1&2	Paragraph
D0			column 1.
D0			Col 2.
D0			Col. 3
D1			" Col 4 Summary of Proposals that Target Marriage Penalties and Stay-at-Home Parents Proposal Preliminary Cost /1 Description Brief Comments Marriage penalty proposals that might affect stay-at-home parenls Single Filer Option (H.R. 2456) $22 billion oo year (in 1999 income levels) Married couples could continue to file a joint return, or elect to file two separate  returns as if each were a single individual. On separate returns, each spouse would report their own earnings. Unearned income could be reallocated by shifting assets. Rules specify how deductions, exemptions,  and  credits split. Would significantly reduce marriage penalties, but would also increase some marriage bonuses. Provides only limited or even no benefit to stay-at-home parents. Would substantially increase filing burdens. Income Splitting (Ashcroft and others) $36 billion oo year (in 1999 income levels) Single filing, with half of a couple's income, including earned income, attributed to each spouse. Would significantly reduce marriage penalties, but also greatly increase marriage bonus es. Would help stay-at-home parents. Adds some complexity to filing. Make Joint Tax Parameters Double Singles Roughly $36 billion per year (in 1999 income levels) /2 The standard deduction and rate brackets for joint filers would be made twice the corresponding amounts for single filers. . Basically equivalent results to income splitting, but much simpler since no additional computations are required. Two-Earner Deduction $12 billion 00 year (in 1999 income levels) Couples with two earners would be allowed a deduction for 10 percent of the first $30,000 of the earnings of the lower-earning spouse. ·. Would reduce marriage penalties signi ficantly , but would also increase some marriage bonuses and convert some penalties into bonuses. Provides no benefits to stay-at-home parents. \,. -h 'l.i.v­ o.r- '--.,..._._ .- 6'""""""""-'. i (.,.,.,u,,l. wj ....,.  """"  li"" ""\""""""'-,ly....... co.,n.'> /I  These are pre!iminary  estimates,  i    l'  -9 income levels.  Estimates    ould presu'.11 bly grow in the out-year .   _ /2 This can be dialed down, by reducing: ingle filer parameters to half th current Joint parameters, though doing so would hurt single taxpayers at the expense of married taxpa ers with two earners. /3 This allows a te·n percent deduction for   he amount  by which the second e  r's earned income /4 The revenue estimate is for increasing the child credit for children under ag0y $500, to $1,000, beginning in 1999. ,4."
D0			Marriage Penalties and Bonuses, and Stay-At-Home Parents
D0			Overview
D0			    • These are overlapping, but distinct, issues. Marriage penalties and bonuses affect most married couples as well as many currently urunarried individuals. The tax treatment of marriage is a very broad issue.
D0			The concern about the child care costs of stay-at-home parents is a narrower issue of primary concern to couples with young children.
D0			    • This memo has three sections: The first describes marriage penalties, why they arise, and provides examples. The second describes and analyses options for reducing marriage penalties. The third describes and analyses a few additional options specifically aimed at stay­ at-home parents.
D0			    I. What Are Marriage Penalties?
D0			        ◦ A couple that owes more income tax by filing a joint return than they would pay if they were unmarried and each filed separate returns has a marriage penalty.
D0			        ◦ Conversely, a couple that_owes less income tax by filing a joint return than they would pay if they were unmarried and each filed separate returns has a marriage bonus.
D0			        ◦ In general, couples with a stay-at-home spouse receive marriage bonuses, whereas two­ earner couples in which spouses have similar earnings face marriage penalties.
D0			Why Do Marriage Penalties and Bonuses Arise?
D0			        ◦ Marriage penalties and bonuses generally arise because the standard deduction and rate brackets for joint filers are less than twice the corresponding amounts for single filers.
D0			        ◦ For couples with children, marriage penalties may arise because a spouse could file as a head of household ifthe couple were not married.
D0			The head of household standard deduction and rates are more generous than corresponding amounts for single filers. -2-
D0			    • Marriage penalties and bonuses also arise because of other tax provisions, such as the EITC, the taxation of Social Security benefits, and the AMT exemption for which the parameters for joint filers are less than twice the corresponding amounts for single filers.
D0			Examples
D0			    • Consider four couples, each with $60,000 of earnings (and no other income). Couples A and B have no children, Couples C and D each have one child. Couples A and C have two earners, each with $30,000 of earnings. Couples B and D have one earner with $60,000 of earnings.
D0			    • The details of the tax computations for these couples are shown in the attachment.
D0			    • In summary, here is what the examples show: Two-earner Couples A and C have marriage penalties, whereas one-earner couples B and D have marriage bonuses. The marriage penalties and bonuses for the couples with a child are smaller than for the couples without a child. However, this would not be true in all circumstances. Having a child reduces Couple C's and D's tax liability significantly relative to Couples A and B, because of the additional exemption for the child, the child credit, and (for Couple C) the child and dependent care tax credit (CDCTC).
D0			How Large Are Aggregate Marriage Penalties and Bonuses?
D0			    • There are approximately $30 billion per year of marriage penalties and $34 billion per year of marriage bonuses according to a recent CBO study.
D0			    • More taxpayers have bonuses than penalties, with marriage boriuses predominating for low income families, and marriage penalties predominating for high income families, especially when there are two high earners.
D1			    II. Options for Addressing Marriage Penalties
D1			Five options for addressing marriage penalties have been discussed: a single filer option, an income splitting option, making joint tax parameters double single parameters, a two-earner deduction, and a targeted two-earner deduction or credit.
D1			        ◦ Treasury is doing more analytical work on these options.
D1			Single Filer Option (H.R. 2456 with 2 I 8 cosponsors)
D1			        ◦ Under this option, a married couple could continue to file a joint tax return, or could elect to file two separate returns, as if each were an unmarried individual.
D1			H.R. 2456 would combine separate filing on one tax return form and lessen some of the inherent complexity of separate filing by arbitrarily prorating deductions and by retaining a joint computation of the EITC and other credits.
D1			Each spouse would report their own earnings, but could reallocate their unearned income by shifting assets.
D1			Dependent exemptions would be allocated in proportion to each spouse's share of their total income (AG!).
D1			        ◦ As the examples illustrate, optional single filing would significantly reduce marriage penalties. In the examples marriage bonuses are unaffected, but in some circumstances marriage bonuses would be increased.
D1			        ◦ The examples also illustrate that married couples with identical total incomes and taxes under current law could pay quite different taxes under optional single filing (compare Couples A and B).
D1			        ◦ This option would-be very expensive, costing roughly $22 billion (in 1999 income levels) per year
D1			        ◦ This option would provide only limited or even no tax benefit to stay-at-home parents, since each spouse would report their own earned income.
D1			        ◦ Optional single filing would also substantially increase the burdens of the income tax system.  Many, if not most, married couples would have to make three, rather than one, tax computation (joint, his, and hers) in order to determine the filing method that results in the least tax liability.
D1			Currently, couples who pool their resources need not keep separate records by spouse. Under optional separate filing, separate income and deduction records could be necessary and complex rules would be needed to allocate income, deductions, credits and exemptions. -4-
D1			Income Splitting
D1			"A number of Republicans who originally supported H.R. 2456 are now advocating an even more costly approach, which would allow single filing combined with ""income splitting."" The motivation for this option is specifically to provide tax benefits to stay-at-home parents. (Senator Ashcroft's proposal includes this provision.) Under income splitting, half of a couple's income, including their earnings, would be attributed to each spouse."
D1			        ◦ As the examples illustrate, this option would allow two-earner couples to compute their tax as if they were single individuals, reducing their marriage penalties, as under the single filing option. Some two-earner couples would receive a larger tax cut (and reduction in marriage penalties) under income splitting, however, because both earned and unearned income could be split.
D1			        ◦ Income splitting would greatly increase marriage bonuses.
D1			        ◦ This option would cost roughly $36 billion (in 1999 income levels) per year.
D1			        ◦ Income splitting would add computational complexity to income tax filing, although it would not be as onerous as single filing since income would simply be split irrespective of which spouse earned the income or owned the underlying asset.
D1			Make Joint Tax Parameters Double Single Parameters
D1			Marriage penalties could be substantially reduced by making the standard deduction and rate brackets for joint filers twice the corresponding amounts for single filers.
D1			        ◦ One approach would be to increase the joint parameters to twice the current single parameters.
D1			        ◦ As illustrated by the examples, this option is basically equivalent in effect to income splitting, so would be just as expensive ($36 billion per year), and have the same effect on marriage penalties and bonuses.
D1			        ◦ However, this option would be much simpler than income splitting, since no additional computations would be required.
D1			        ◦ An alternative approach would be to reduce the single parameters to half the current joint parameters.
D1			This approach would raise revenue by increasing taxes on most single filers, without reducing taxes paid by married couples.
D1			        ◦ The Treasury reform option adopts an intermediate approach to addressing marriage -5- penalties, but also makes several other significant changes to the tax code.
D1			Tackling marriage penalties as part of a broader reform package ameliorates the stark tradeoff between two-earner couples and single taxpayers that a low-cost marriage penalty solution along these lines would require.
D0			Two-Earner Deduction (H.R. 2593, sponsored by twenty-two mostly Republican Ways and Means Committee members)
D0			This proposal would resurrect the second earner deduction that existed between 1982 and 1986. The deduction is for 10 percent of the first $30,000 of the earnings of the spouse with lesser amount of earnings.
D1			        ◦ As the examples illustrate, this option can reduce marriage penalties significantly.
D1			        ◦ This option can also increase the marriage bonuses of those already receiving marriage bonuses, or change current marriage penalties into marriage bonuses
D1			        ◦ However, this option provides no tax benefits to stay-at-home parents.
D1			        ◦ Our very preliminary revenue estimates are that this proposal would cost approximately $12 billion per year.   ·
D1			A Targeted Two-Earner Deduction or Credit (A less expensive two-earner deduction)
