Annotator1	Annotator2	Resolve1&2	Paragraph
T0	T0	T0	Bruce N. Reed 03/12/9801:45:10PM Record Type: Record To: Jonathan H. Schnur/OVP @ OVP cc: Elena Kagan/OPD/EOP, Michael Cohen/OPD/EOP, Christa Robinson/OPD/EOP bcc:  Subject: Re: Announcements/challenges for Monday's TIMSS event
D1	D1	D1	That list sounds fine to me. From #2, I would only highlight a & b -- I wouldn't do the others or make much of them. On #3, I would announce both now, I think.
D1	D1	D1	Rahm wants to leak the school violence report for Monday a.m. I don't think we're going to get much pressure for announcements.
T0	T0	T0	Jonathan H. Schnur @ OVP
T0	T0	T0	Jonathan H. Schnur @ OVP  03/12/98 01:23:45 PM Record Type: Record To: Bruce N. Reed/OPD/EOP, Elena Kagan/OPD/EOP cc: Michael Cohen/OPD/EOP, Christa Robinson/OPD/EOP Subject: Announcements/challenges for Monday's TIMSS event
T0	T0	T0	Bruce and Elena –
D0	D1	D1	Mike and I discussed a set of possible announcements and challenges that the President could make at Monday's TIMSS event. Mike asked me to run them by you. Could you please take a particularly close look at # 2, the challenges?
D0	D1	D1	The President could:
D1	D1	D1	1) Highlight the importance of moving forward on his education agenda, focusing heavily on the voluntary national 8th grade test but also mentioning class size, modern schools/school construction, urban education zones, High Hopes, teacher recruitment and training initiatives, and the $60 million middle school math initiative in the '99 budget.
D1	D1	D1	2) Issue a set of challenges for the nation to help address the issue. calling on:
D1	D1	D1	a. states to require new math and science teachers to pass assessments of their knowledge of math or science, and their capacity to teach their subject well, before getting their teaching license. (33 states are members of an organization working to develop and put in place assessments like these over the next three years.)
D1	D1	D1	b. states and school districts to insist that their math and science teachers have  either majored or minored in their subject area in college. (The average K-8 math teacher only takes 3 undergraduate math courses. 28% of math teachers have neither neither a major nor minor in math, 55% of physics teachers have neither a major nor minor in physics, and 18% of science teachers have neither a major nor minor in science.)
D1	D1	D1	c. students to work hard and take tough courses in math and science in middle school and high school, and for those with real proficiency in math and science to consider making careers in teaching. (To help students do this, also challenge schools to offer tough math and science classes for all students throughout middle and high school.)
D1	D1	D1	d. businesses to make clear that students' performance in school counts and look at students transcripts when considering them for jobs. The President could thank the Business Roundtable and National Alliance of Business for their work on this issue, and announce that he would convene a meeting of business leaders at the White House to stimulate action on this nationwide.
D1	D1	D1	e. universities to strengthen their programs preparing math and science teachers and to encourage more math and science majors to consider careers in teaching.
D1	D1	D1	f. parents to insist on finding out how their child is doing compared to national standards and compared to their peers around the nation and world. (This leads into national tests, of course.)
D1	D1	D1	The one other challenge to the states we might want to include is for states to adopt rigorous standards in math and science.
D1	D1	D1	3) Announce new on-line help for parents, teachers, and students in math and science:
D1	D1	D1	a. TIMSS on-line challenge. Parents will be able -- beginning at back-to-school time this fall to download a math and science quiz from the internet, give it to their children, and get a rough sense of what their children need to know in math and science and how they are doing compared to their peers around the world.
D1	D1	D1	b. New math and science web-site. On Monday, a new website will be available connecting teachers, parents, and students to good materials for curriculum and out-of-school math and science learning, drawing on the scientific resources of NASA, the Department of Energy, the National Science Foundations, and other federal agencies involved in math and science. (Thus has been a collaborative effort among more than 40 agencies. It will be ready Monday, but we could also save this for a VP event later this month that could focus more squarely on this website and give more credit to all of the agencies involved.)
T0	T0	T0	THE WHITE HOUSE WASHINGTON March 14, 1998 PRESIDENTIAL MEETING ON MATH AND SCIENCE EDUCATION DATE: March 15, 1998 LOCATION: Springbrook High School BRIEFING TIME: 9:30 am - 10:00 am EVENT TIME: 10:30 am - 11:50 am (meeting) 12:00 pm - 12:45 pm (remarks to students) FROM: Bruce Reed/Mike Cohen
D0	D1	D1	I. PURPOSE  To bring together leaders from government, business, education, and the scientific community to discuss the recent 12th grade Third International Math and Science Study (TIMSS) results, and to issue a set of challenges to the nation to improve student achievement. You will also announce new on-line math and science help for parents, teachers, and students.
